OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE589972992022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589973062022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589972982022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589972592022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589972872022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE591974012022,TRAILER_CONTAINER40,RJT,2022-02-16,JAWA TENGAH-JAWA TENGAH,7
VE589494342022,TRAILER_CONTAINER40,PAD,2022-01-19,JAWA TENGAH-JAWA TENGAH,6
VE591973962022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE596741442022,TRAILER_CONTAINER40,BTS,2022-04-11,JAWA TENGAH-JAWA TENGAH,1
VE591714142022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE591714082022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE591714072022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE591829802022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE591829112022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE593989972022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE594113912022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE593989962022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593989952022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE596741452022,TRAILER_CONTAINER40,BTS,2022-04-11,JAWA TENGAH-JAWA TENGAH,1
VE590218252022,TRAILER_CONTAINER40,PAD,2022-01-27,JAWA TENGAH-JAWA TENGAH,1
VE594114032022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE594113992022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE594113952022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE594113972022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE594113942022,TRAILER_CONTAINER40,BTS,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE591348512022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE591348502022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE591348522022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE591348492022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE594114052022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE591483992022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE591483932022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE591484012022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE594114042022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,5
VE594114002022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,6
VE591088652022,TRAILER_CONTAINER40,RJT,2022-02-07,JAWA TENGAH-JAWA BARAT,3
VE591088622022,TRAILER_CONTAINER40,RJT,2022-02-07,JAWA TENGAH-JAWA BARAT,3
VE589616642022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,1
VE589616652022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,1
VE589616632022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,1
VE591195002022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,2
VE591973982022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE591973972022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE591974002022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE591714152022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE589616622022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,5
VE589616892022,TRAILER_CONTAINER40,RJT,2022-01-20,JAWA TENGAH-JAWA TENGAH,5
VE589616862022,TRAILER_CONTAINER40,RJT,2022-01-20,JAWA TENGAH-JAWA TENGAH,5
VE593989822022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,0
VE590848632022,TRAILER_CONTAINER40,PAD,2022-02-03,JAWA TENGAH-JAWA TENGAH,4
VE590848592022,TRAILER_CONTAINER40,PAD,2022-02-03,JAWA TENGAH-JAWA TENGAH,4
VE593989912022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593989872022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593073722022,TRAILER_CONTAINER40,PAD,2022-03-01,JAWA TENGAH-JAWA TENGAH,1
VE593073742022,TRAILER_CONTAINER40,PAD,2022-03-01,JAWA TENGAH-JAWA TENGAH,1
VE593073732022,TRAILER_CONTAINER40,PAD,2022-03-01,JAWA TENGAH-JAWA TENGAH,1
VE591830132022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE591830522022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE591829352022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE594113782022,TRAILER_CONTAINER40,MSM,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE594113772022,TRAILER_CONTAINER40,MSM,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE591721552022,TRAILER_CONTAINER40,BTS,2022-02-14,JAWA TENGAH-JAWA TENGAH,1
VE592599432022,TRAILER_CONTAINER40,BTS,2022-02-23,JAWA TENGAH-JAWA TENGAH,1
VE591604232022,TRAILER_CONTAINER40,MSM,2022-02-11,JAWA TENGAH-JAWA TENGAH,3
VE593719072022,TRAILER_CONTAINER40,PAD,2022-03-08,JAWA TENGAH-JAWA TENGAH,7
VE593719052022,TRAILER_CONTAINER40,PAD,2022-03-08,JAWA TENGAH-JAWA TENGAH,7
VE594340192022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,6
VE588765372022,TRAILER_CONTAINER40,BTS,2022-01-11,JAWA TENGAH-JAWA BARAT,2
VE588765442022,TRAILER_CONTAINER40,BTS,2022-01-11,JAWA TENGAH-JAWA BARAT,2
VE589972812022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA BARAT,2
VE590378272022,TRAILER_CONTAINER40,BTS,2022-01-28,JAWA TENGAH-JAWA BARAT,4
VE590377332022,TRAILER_CONTAINER40,BTS,2022-01-28,JAWA TENGAH-JAWA BARAT,4
VE589972952022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA BARAT,2
VE591714102022,TRAILER_CONTAINER40,BTS,2022-02-14,JAWA TENGAH-JAWA BARAT,1
VE591714052022,TRAILER_CONTAINER40,BTS,2022-02-14,JAWA TENGAH-JAWA BARAT,1
VE594242582022,TRAILER_CONTAINER40,BTS,2022-03-14,JAWA TENGAH-JAWA BARAT,3
VE594242502022,TRAILER_CONTAINER40,BTS,2022-03-14,JAWA TENGAH-JAWA BARAT,3
VE591015192022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE591015172022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE591015152022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE591012512022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE589974512022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,6
VE589974432022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,5
VE589974402022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,6
VE592346212022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TIMUR,2
VE589974522022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,6
VE592346272022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TIMUR,8
VE592449912022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TIMUR,1
VE592449992022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TIMUR,1
VE594616572022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TIMUR,1
VE594616512022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TIMUR,1
VE593227402022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE593227412022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE593227432022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE593227422022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE594726162022,TRAILER_CONTAINER40,PAD,2022-03-18,JAWA TENGAH-JAWA TIMUR,7
VE594726152022,TRAILER_CONTAINER40,PAD,2022-03-18,JAWA TENGAH-JAWA TIMUR,7
VE591001562022,TRAILER40_LOSSBAK,PAD,2022-02-04,JAWA TENGAH-BANTEN,3
VE591001762022,TRAILER40_LOSSBAK,PAD,2022-02-04,JAWA TENGAH-BANTEN,3
VE589347622022,TRAILER40_LOSSBAK,PAD,2022-01-18,JAWA TENGAH-BANTEN,10
VE591601852022,TRAILER_CONTAINER40,MSM,2022-02-11,JAWA TENGAH-BANTEN,3
VE595869552022,TRAILER40_LOSSBAK,PAD,2022-03-31,JAWA TENGAH-BANTEN,11
VE589240312022,TRAILER40_LOSSBAK,PAD,2022-01-17,JAWA TENGAH-BANTEN,8
VE589240302022,TRAILER40_LOSSBAK,PAD,2022-01-17,JAWA TENGAH-BANTEN,8
VE589240292022,TRAILER40_LOSSBAK,PAD,2022-01-17,JAWA TENGAH-BANTEN,8
VE591717682022,TRAILER_CONTAINER40,PCP,2022-02-14,JAWA TENGAH-BANTEN,1
